2025-04-05 20:14:38,378 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818d00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,384 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a260>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,487 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107818bb0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,491 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891de0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,539 - __main__ - INFO - Error sending request to cache-service: ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-04-05 20:14:38,596 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078900d0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,597 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107892500>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,706 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a230>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,707 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107819900>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,822 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890fa0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,836 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781a3b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,949 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107819d50>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:38,967 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781b5e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,067 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107891030>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,087 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107892d40>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,198 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781ba00>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,204 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: /?error=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10781bf40>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,342 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078920e0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,347 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x107890340>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,464 - __main__ - INFO - Error sending request to queue-service: HTTPConnectionPool(host='localhost', port=8085): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078932b0>: Failed to establish a new connection: [Errno 61] Connection refused'))
2025-04-05 20:14:39,468 - __main__ - INFO - Error sending request to backend-service: HTTPConnectionPool(host='localhost', port=8081): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1078936a0>: Failed to establish a new connection: [Errno 61] Connection refused'))
